Alpha,Assn_0,Assn_1,Assn_2,Assn_3,BER,Iteration,LL,Theta
1.0,74.0,76.0,89.0,71.0,0.0,0,0.0,0.0188679245283
0.999571343373,58.0,43.0,55.0,44.0,0.72726941423,1,-821.719050605,0.0177879311252
0.999571343373,58.0,53.0,58.0,49.0,0.736580594412,2,-808.65199045,0.0177879311252
0.999571343373,58.0,39.0,59.0,50.0,0.756649881485,3,-808.550299813,0.0177879311252
0.999571343373,58.0,49.0,59.0,50.0,0.741880722073,4,-805.64445216,0.0177879311252
1.00579928964,56.0,66.0,59.0,50.0,0.716375434036,5,-787.80901702,0.0168191951819
0.929006208739,48.0,59.0,58.0,51.0,0.720377778109,6,-768.259897457,0.0147101887543
0.952226228199,50.0,57.0,74.0,54.0,0.790345680202,7,-680.804957514,0.0134205772569
0.973830858107,53.0,59.0,79.0,60.0,0.775076873854,8,-662.112440106,0.0130621504913
0.988199043483,56.0,59.0,81.0,61.0,0.776598261558,9,-654.002867487,0.0127705166796
0.988199043483,57.0,59.0,80.0,62.0,0.776130604251,10,-652.834809507,0.0127705166796
