Alpha,Assn_0,Assn_1,Assn_2,Assn_3,BER,Iteration,LL,Theta
1.0,169.0,188.0,166.0,193.0,0.0,0,0.0,0.00909090909091
1.00273469832,67.0,83.0,75.0,66.0,0.611545074328,1,-1882.05587288,0.0089188149908
1.0232910782,46.0,66.0,102.0,87.0,0.640188758927,2,-1874.72882533,0.00872070900969
1.08054541133,79.0,101.0,105.0,89.0,0.61995491577,3,-1715.53338254,0.00863200640805
1.13267751854,84.0,117.0,110.0,95.0,0.618289503813,4,-1668.70403684,0.0086729876382
1.17207913788,94.0,126.0,116.0,100.0,0.614641074495,5,-1636.54144866,0.00856784494446
1.18938694882,101.0,128.0,116.0,102.0,0.613617528775,6,-1623.45403549,0.00853770204699
1.20626234737,101.0,134.0,119.0,105.0,0.612874684581,7,-1617.08799968,0.00844723920548
1.20954754325,102.0,132.0,121.0,107.0,0.612761447075,8,-1612.19820036,0.00842616450861
1.21553180611,102.0,132.0,121.0,108.0,0.613461017097,9,-1609.21298827,0.00838853922391
1.21553180611,102.0,133.0,121.0,107.0,0.614334522883,10,-1606.83323538,0.00838853922391
