Alpha,Assn_0,Assn_1,Assn_2,Assn_3,Assn_4,Assn_5,BER,BIC,Iteration,LL,Theta
1.0,93.0,91.0,94.0,91.0,85.0,84.0,0.0,9016.41990053,0,0.0,0.0322580645161
0.999110356952,84.0,72.0,58.0,59.0,67.0,70.0,0.636793731589,9016.41990053,1,-3773.37091118,0.0315034761228
1.00134413789,98.0,68.0,58.0,68.0,70.0,77.0,0.643474050624,9016.41990053,2,-3567.07928299,0.0305445960043
1.00397626711,93.0,72.0,58.0,68.0,69.0,79.0,0.648427462683,9016.41990053,3,-3401.94533292,0.0289654419826
1.00523402596,95.0,73.0,61.0,67.0,70.0,80.0,0.660230950273,9016.41990053,4,-3260.47366374,0.0246217459431
1.01634928282,95.0,76.0,62.0,69.0,70.0,82.0,0.668272520201,9016.41990053,5,-3190.46720182,0.0226758115719
1.0214249029,91.0,77.0,67.0,69.0,70.0,83.0,0.668622494376,9016.41990053,6,-3172.20974293,0.022151571101
1.03321350942,91.0,78.0,68.0,69.0,70.0,87.0,0.674914856899,9016.41990053,7,-3152.95352343,0.0206244120307
1.03695896507,90.0,80.0,69.0,68.0,70.0,85.0,0.67409716436,9016.41990053,8,-3138.49930495,0.019630308182
1.03695896507,91.0,80.0,70.0,68.0,71.0,85.0,0.675657590176,9016.41990053,9,-3131.80863672,0.019630308182
1.03695896507,91.0,79.0,71.0,68.0,72.0,85.0,0.675207187094,9016.41990053,10,-3126.94184548,0.019630308182
1.03695896507,88.0,79.0,78.0,68.0,71.0,84.0,0.678163780322,9016.41990053,11,-3121.80188433,0.019630308182
1.04859682929,89.0,79.0,78.0,68.0,71.0,84.0,0.681300781876,9016.41990053,12,-3107.84916498,0.0189057023705
1.04859682929,89.0,79.0,80.0,68.0,75.0,84.0,0.677664566028,9016.41990053,13,-3107.31164696,0.0189057023705
